,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
681,Tea Bar,Beverages,,200,Bajaj Nagar,Bajaj Nagar,"PLOT NO. 52, LAXMI NAGAR SQUARE, WHC  ROAD, NAGPUR, Zone no.1 -Laxminagar,  Nagpur urban, Nagpur-1, Maharashtra -  440022",False,21.1275893,79.0615901
682,Monkey's Ranch,"Snacks,Beverages",,300,Dharampeth,Dharampeth,"UFG 04, Shree Ganeshvignahar, Mate Chowkta Apartment, Mate Square, Laxminagar, Nagpur, Maharashtra 440010, India",False,21.1409684,79.0624344
683,Burhanpur Jalebi Center,Sweets,4.6,100,Pratap Nagar,Pratap Nagar,"PLOT NO. 37, SHOP NO.2, SONALI APARTMENT, KOTWAL NAGAR, RING ROAD, NAGPUR - 440022",True,21.1137148,79.0567838
684,CHAHA DOT COM,"Chinese,Fast Food,Snacks",,150,Nandanvan,Nandanvan,"SHOP NO 1, PONAM CO. OPERATIVE SOCIETY NEAR SBI BANK NEW NADANVAN NAGPUR -09 , Nagpur urban , Nagpur -1 (Maharashtra), -440009",False,21.1375622,79.1226825
685,NP'S CAFE,"Continental,Italian,Chinese",,200,Nandanvan,Nandanvan,"POONAM APARTMENT, NEAR JANKI GYAN GANGA CONVENT, NANDANVAN ZONE NO 3 NEHARUNAGAR   NAGPUR 440009",False,21.1375622,79.1226825
686,H.T.C,"Snacks,Fast Food,Beverages",,250,Bajaj Nagar,Bajaj Nagar,"15A JP Chamber, Mate Square, Madhav Nagar, Nagpur, Maharashtra 440033, India",False,21.1275893,79.0615901
687,THE SIZZLING KITCHEN,Indian,,200,Pachpaoli,Sadar,1563/9 VAISHALI NAGAR BEHIND NIT SWIMMING POOL  NAGPUR,False,21.1592054,79.0795595
688,Kirtan Food Plaza,"South Indian,Pizzas,Chinese",,300,Rameshwari,Ayodhya Nagar,"PLOT NO 7, NEW DNYANESHWAR NAGAR, MANEWADA ROAD, NAGPUR, District - Nagpur-1, STATE - Maharashtra",False,21.1205917,79.11011712375097
689,CHEF'S GALLEY,"Fast Food,Pizzas,Snacks",,300,Nandanvan,Nandanvan,"PLOT NO.49, MIRE LAYOUT, NANDANVAN  ROAD, NAGPUR, Zone no.3 -Neharunagar,  Nagpur (Urban), Nagpur, Maharashtra -  440009",False,21.1375622,79.1226825
690,DOSA DESTINATION,"South Indian,Beverages",4.2,150,Wardha Road,Wardha Road,"1174/84, Ring Rd, Pragati Colony, Gajanan Nagar, Nagpur, Maharashtra 440015, India",True,21.1137775,79.070792
691,Bake My Cake,Bakery,3.8,250,Rameshwari,Wardha Road,"Shop no 4 , nalanda nagar , bhagwan nagar road , near bank of Maharashtra , Nagpur 440027",True,21.1137775,79.070792
692,Dikshani Pure Veg Restaurant,"North Indian,Maharashtrian,Indian",2.1,300,Ayodhya Nagar,"Ayodhya Nagar,jambudeep nagar near khadse high school",Plot no 151 jambudeep nagar near khadse high school,False,,
693,MB Snacks,Street Food,,150,Pratap Nagar,Pratap Nagar,"9, Pratap Nagar Main Rd, P & T Colony, Kotwal Nagar, Pratap Nagar, Nagpur, Maharashtra 440020, India",True,21.1137148,79.0567838
694,Cake N Joy (Pure Veg),"Bakery,Desserts,Ice Cream",,400,Rameshwari,Ayodhya Nagar," plot no.76, manewada road, near venu corner, nagpur",True,21.1205917,79.11011712375097
695,Sandwich and Burger,Snacks,,250,Narendra Nagar,Manish Nagar,"Plot no - 14/A1, Laxmi Niwas, Borkute Layout, Narendra Nagar, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra-440015",False,21.1236132,79.0855402
696,Roll Corner,"Fast Food,Chinese,Street Food,Combo",2.8,350,Nagpur,Ayodhya Nagar,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,False,21.1205917,79.11011712375097
697,Snowstation Cafe,"Italian,Beverages,Juices",,300,Nandanvan,Nandanvan,"Snow station Jamuna society, 1, Dr Ambedkar Square, opposite Ambedkar Garden, Telephone Exchange, Lakadganj, Nagpur, Maharashtra 440008, India",True,21.1375622,79.1226825
698,9 3/4 Central Perk,"Beverages,Chinese,Indian",,400,Dharampeth,Dharampeth,"PLOT NO.32,GHATE RESTAURANT, HINGNA ROAD, AMBAZARI,NAGPUR, District - Nagpur-1, STATE - Maharashtra, 440010",False,21.1409684,79.0624344
