,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
263,Sauransh Chana Poha,"Indian,Snacks",,100,Sadar,Sadar,"Infront of Gate no. - 7/8, Civil Lines, Zone no.10 - Mangalwari, Nagpur urban, Nagpur-1, Maharashtra, 440001",False,21.1729661,79.0795534
264,SWEET MOVEMENT,"Bakery,Desserts",,200,Ayodhya Nagar,Ayodhya Nagar,"PLOT NO 483,UNTKHANA ROAD MEDICAL CHOWK,NAGPUR,440009,NAGPUR URBAN ,NAGPUR ,MAHARASHTRA",False,21.1205917,79.11011712375097
265,Ram Rasoi,"Chinese,Indian",,300,Nandanvan,Nandanvan,"PTS QTR 25, Chandan Nagar, Ayodhya Nagar, Nagpur",False,21.1375622,79.1226825
266,Mantra Marg South Indian,South Indian,,200,Sadar,Sadar,"Shop 5, Sadar Link road, PWD Gate, Sadar, Nagpur",True,21.1729661,79.0795534
267,Haldiram's Abhinandan Restaurant,"Chaat,North Indian,Snacks,South Indian,Fast Food,Beverages",4.0,300,Itwari,Gandhibagh,"Near Itwari Post Office, City Road, Itwari, Gandhibagh, Nagpur",True,21.1543273,79.1058527
268,Ram Ki Bandi,"South Indian,Snacks",,200,Sadar,Sadar,"Shop no.2, Shraddha Tower, Mangalwari Market Road, Sadar, Nagpur  -   440001",False,21.1729661,79.0795534
269,ARABIAN TIKKA,"Kebabs,Chinese,Indian",,200,Sadar,Sadar,"SHOP NO 5 SHRADHA TOWER SADAR  NAGPUR 440001, Zone no.10-Mangalwari,  Nagpur (Urban), Nagpur, Maharashtra -  440001",False,21.1729661,79.0795534
270,Drink n Dream,Beverages,4.6,200,Nagpur,Jaripatka,"HOUSE NO 383,DHARAMPETH,TANGA STAND ,NAGPUR, Nagpur (Urban), Nagpur, , Maharashtra, 440010",True,21.1886888,79.0918769
271,Shreenath Pavbhaji food express,"Snacks,North Indian",,200,Dharampeth,Dharampeth,"SANKALP APARTMENT, PLOT NO. 29, NEAR MATA MANDIR, NAGPUR, Zone no.5-Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra - 440010",True,21.1409684,79.0624344
272,Hide Out The Street Cafe,"North Indian,Chinese",3.8,250,Bajaj Nagar,Bajaj Nagar,"Central Bazar Road, Bajaj Nagar, Nagpur, Maharashtra 440010, India",False,21.1275893,79.0615901
273,Cafe Illusions,"Italian,Fast Food,Desserts,Beverages",3.7,600,Dharampeth,Dharampeth,"Lad Apartment, Opposite Dharampeth High School, North Ambazari Road, Dharampeth, Nagpur",False,21.1409684,79.0624344
274,ICE CUBE,"Ice Cream,North Indian,Chinese,Italian,Fast Food,Tandoor,Snacks,Beverages",,500,Sadar,Sadar,CHENNA CHAMBER MOUNT ROAD SADAR NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440001,False,21.1729661,79.0795534
275,The Good Bowl,"North Indian,Punjabi,Biryani,Chinese,Beverages,Desserts,Jain,Indian,Hyderabadi,Mughlai",4.0,400,Sadar,Sadar,"Plot No 227/1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur 440001",False,21.1729661,79.0795534
276,The South Anna,"South Indian,Snacks",,250,Bajaj Nagar,Ramdaspeth,"Chatori Street,Central Bazaar Road,nxt to meditrina",True,21.1365853,79.0749872
277,The Egg Story,"Fast Food,Beverages",,200,Ramdaspeth,Ramdaspeth,"The Chatori Street, Besides Meditrina, Ramdaspeth",False,21.1365853,79.0749872
278,Chai Villa,"Beverages,Snacks",,200,Ayodhya nagar ,Nandanvan,"SAMRAT ASHOK UMRED ROAD SIRASPETH NAGPUR, Nagpur urban, Nagpur-1 (Maharashtra), - 440009 ",True,21.1375622,79.1226825
279,LunchBox - Meals and Thalis,"North Indian,Punjabi,Combo,Biryani,Healthy Food,Jain,Thalis,Indian,Mughlai,Desserts",4.0,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
280,Step Inn,"North Indian,Chinese",4.0,300,Gokulpeth,Dharampeth,"Law College Square, WHC Road, Dharampeth, Nagpur",False,21.1409684,79.0624344
281,Punjabizz,"North Indian,Indian,Tandoor,Kebabs,Biryani,Chinese",,300,Kadbi Chowk,Kabdi Square,"SHOP NO 05 , OPPOSITE ZUDIO STORE, SUKHJEEWAN COLONY, KADBI SQUARE, NAGPUR-440017",False,,
282,Kickass42,"Beverages,Snacks",,200,Sadar,Sadar,"Shop no.05, Anjuman Complex, Opp. Anjuman Polytechnic College, Sadar, Nagpur  440001",False,21.1729661,79.0795534
283,Chaitanya Paratha,Indian,,200,Dharampeth,Dharampeth,"PLOT NO -378 NARMADA VIHAR IN FRONT OF TRAFFIC PARK NAGPUR, Nagpur (Urban ) ,Nagpur, ,Maharashtra,440010",False,21.1409684,79.0624344
284,The Biryani Life,"Biryani,Hyderabadi,Lucknowi,North Indian,Mughlai,Desserts",3.7,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
285,Pure Veg Meals by Lunchbox,"North Indian,Desserts,Biryani",,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",True,,
286,Faasos' Signature Wraps & Rolls,"Snacks,Beverages,Desserts,Indian",,350,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
287,AB s-Absolute Barbecues,"North Indian,Chinese,Mughlai,Biryani,Barbecue,Grill,Seafood,Kebabs,Pan-Asian",3.7,400,Dharampeth,Dharampeth,"Plot No. 236, Survey No. 962, Street No. 15/24, West High Court, Dharampeth, Nagpur, Nagpur-1, Maharashtra,440010",False,21.1409684,79.0624344
288,Zaffran Biryani,Biryani,3.3,250,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,21.1375622,79.1226825
289,Hungama Shawarma & Shakes House,"Arabian,Beverages,Lebanese,Snacks,Street Food",2.5,250,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR 440010, District - Nagpur-1, STATE - Maharashtra-440010",False,21.1409684,79.0624344
290,Hi Pepper,Pizzas,,250,Sadar,Sadar,"Hi Pepper, F/12, Ground Floor, Anjuman Complex, Sadar, Nagpur. 440001",True,21.1729661,79.0795534
291,Hungama Street Cafe,"Snacks,Chinese,Beverages,Street Food,Italian,Lebanese",3.2,300,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR , District - Nagpur-1, STATE - Maharashtra - 440010",False,21.1409684,79.0624344
292,Chowringhee- Kathi Rolls And Kebabs,"Kebabs,North Indian,Street Food,Chinese,Lebanese",3.8,200,Sadar,Anjuman complex,Shop No. 4d Anjuman Complex Sadaar,False,,
293,Reddy's Gokul Dairy And Agro Farms,"Sweets,Beverages,Desserts",4.4,200,Dharampeth,Dharampeth,"PLOT NO 72, HOUSE NO451, AGRESEN MARGROAD, DHARAMPETH,Nagpur, Maharashtra,440010",False,21.1409684,79.0624344
294,JD's Kitchen - The Rice Bowl Co.,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.8,200,Ramdaspeth,"Kachipura Chowk, JD","Central Bazar Road, Kachipura Chowk, Nagpur",True,,
295,The Brooklyn Creamery - Healthy Ice Cream,"Desserts,Ice Cream,Healthy Food",4.3,200,Sadar,RESIDENCY ROAD,"BLOCK NO. 08, GROUND FLOOR, INDIRA ARCHADE, RESIDENCY ROAD, SADAR, NAGPUR , Zone no.10-Mangalwari , Nagpur urban, Nagpur-1, Maharashtra-440001.",False,21.20375095,79.0710659726571
296,Lakhan Pan Mandir,"Paan,Beverages",,200,Nandanvan,Nandanvan,"ward No. 51 Paliwal Bhawan, Handloom market, Gandhibag, Nagpur  440002",False,21.1375622,79.1226825
297,Giani's,"Desserts,Ice Cream,Beverages",,150,Sadar,Sadar,"SHOP  NO 8, GROUND FLOOR, INDIRA ARCHADE RESEDENCY ROAD SARDAR NAGPUR,  MAHARASHTRA",False,21.1729661,79.0795534
298,Maharaj Bag Lawn,"North Indian,Chinese,Beverages",4.1,400,Gokulpeth,Dharampeth,"Amravati Road, Dharampeth, Nagpur",False,21.1409684,79.0624344
299,SSDs Swad Ghar Ka,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.8,200,Ramdaspeth,"Kachipura Chowk, SSD","Central Bazar Road, Kachipura Chowk, Nagpur",True,,
300,Goli Vada Pav Dharampeth,"Fast Food,Beverages,Snacks,Street Food,Indian",4.0,250,Dharampeth,Dharampeth,"SMT KANCHAN JAISWAL M001 SUPRABHAT SANKUL PLOT NO 001 BUTY LAYOUT NAGPUR 440010, Zone no.2 -Dharampeth, Nagpur urban, Nagpur-1, Maharashtra - 440010",True,21.1409684,79.0624344
301,Bowled It,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.6,200,Ramdaspeth,"Kachipura Chowk, Bowled","Central Bazar Road, Kachipura Chowk, Nagpur",False,,
302,Manthan Biryani center,"Biryani,Chinese",,150,Dharampeth,Dharampeth,"House no 830, mata mandir, dharampeth",False,21.1409684,79.0624344
303,Pizzzenia,"Pizzas,Italian,Continental",3.6,350,Byramji Town,Residency Road,"Panchminar Apartment, Koradi Rd, Chitnavis Nagar, Byramji Town, Nagpur, Maharashtra 440001",False,21.20375095,79.0710659726571
304,Bawarchi Restaurant,"Punjabi,North Indian,Biryani,Pizzas,Pastas,Continental",3.7,450,Khare Town,Dharampeth,"Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",True,21.1409684,79.0624344
305,La Pasta Fresca Deli,"Pastas,Italian,Pizzas,Beverages",4.2,500,Dharampeth,dharampeth,"Plot 2, Bhagvaghar Layout, opposite Taori Marketing, Dharampeth, Nagpur, Maharashtra 440010",False,21.1409684,79.0624344
306,Krishnum Sweets,Sweets,,200,Ayodhya Nagar,Ayodhya Nagar,"Ajani, Medical College Road, Near DCP zone-4 Office, Ajni Railway Colony, Ajni Nagpur  440003",False,21.1205917,79.11011712375097
307,Firangi Bake,"Italian,Mexican,Pastas,Ice Cream",4.1,400,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
308,Nineties Cafe,Fast Food,,250,Dharampeth,shankar nagar,"DG/2, Kamlakar Apt, Plot No. 4, Near Post Office, Shankar Nagar",False,21.1362125,79.0616442
309,Swadesh Rasoi Pure Veg,Chinese,,399,Nandanvan,Nandanvan,"911, Block Number 8, Mangalwari, Nagpur, Maharashtra 440008, India",True,21.1375622,79.1226825
310,The Common Ground Sports Cafe & Restro,"Indian,Snacks,Italian,Tandoor,Mughlai,North Indian,Street Food,Beverages",4.5,250,Bajaj Nagar,Bajaj Nagar,"Sahas Building, Plot No. 64, near Gasgodown, Bajaj nagar, Nagpur 440010",False,21.1275893,79.0615901
311,Firangish Cafe & Courtyard,Chinese,,500,Dharampeth,Dharampeth,"Bhagwaghar Layout, Dharampeth, Nagpur",False,21.1409684,79.0624344
312,Abhi Chinese centre,"Chinese,Street Food",,250,Nandanvan,Nandanvan,"463A, Siraspeth, Nagpur, Maharashtra 440024, India",False,21.1375622,79.1226825
313,WANDERERS CAFE AND CASUAL DINING,"Beverages,Italian,Fast Food,Chinese",,300,Dharampeth,Dharampeth,PLOT NO 17 PRABHA SADAN GIRIPETH NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1409684,79.0624344
314,Chaiops- Dj Group,"Beverages,Italian,Fast Food,Chinese",,199,Sadar,Sadar,"Shop no 5 Mughal complex, Mangalwari Bazar Rd, Sadar, Nagpur, Maharashtra 440001, India",False,21.1729661,79.0795534
315,SHEHZAL FOOD CORNER,"Snacks,Combo",,100,Sadar,Sadar,"PATEL NAGAR , KAMPTEE ROAD STAR MOTERS UPPALWADI , NAGPUR ZONE NO. 9 ASINAGAR NAGPUR URBAN NAGPUR - 1 MAHARASHTRA - 440026",False,21.1729661,79.0795534
316,Tattwam,"South Indian,North Indian",3.7,500,Ramdaspeth,Ramdaspeth,"Plot No.272, Manomay Plaza, Central Bazar Road, Ramdaspeth, Nagpur",True,21.1365853,79.0749872
317,PAAN AROMA,"Paan,Beverages",,100,Sadar,Sadar,"Block no 12 at ground floor of buty  complex, plot no 16 bearing nmc house  number 45 situated at Mount Road, sadar  nagpur, Zone no.10-Mangalwari, Nagpur  (Urban), Nagpur, Maharashtra - 440001",False,21.1729661,79.0795534
318,Icing On The Cake,Indian,3.8,60,Dharampeth,Dharampeth,"Plot no.28, Gawlipura, Dharampeth, Nagpur-440010",False,21.1409684,79.0624344
319,Malhar Fresh,"Pizzas,Fast Food,Beverages,Snacks",,400,Sadar,Sadar,"Harmand Apartment-1, 101, Kamtee Rd, 10 No. Pul, Near Savita Gas Agency, Kamtee, Dobi Nagar, Bezonbagh, Nagpur, Maharashtra 440017, India",True,21.1729661,79.0795534
320,Mini Punjab,"Indian,Biryani",3.7,600,Khare Town,Dharampeth,"Suprabhath Apartment, Near WHC Road, Dharampeth, Nagpur",False,21.1409684,79.0624344
321,Natural Ice Cream,Ice Cream,4.1,150,Sadar,Sadar,"H.NO.298, AZAD CHOWK, SADAR, NAGPUR, Nagpur-1, Maharashtra- 44001",True,21.1729661,79.0795534
322,Shahi Haandi Kebab & Biryani,"North Indian,Biryani,Mughlai,Indian,Maharashtrian,Chinese",4.1,300,Gokulpeth,Dharampeth,"Plot No 55, Flat No 102  Satyam Apartment Canal Road Gokulpeth Nagpur, Nagpur Urban, Nagpur-1 (Maharashtra)",False,21.1409684,79.0624344
323,JDS  JUST  DESSERTZ,"Desserts,Ice Cream,Snacks,Beverages,Indian",4.2,300,Civil Lines,Dharampeth,"C/o. LAMBA TRADERS PETROL PUMP, NEAR R.T.O., AMRAVATI ROAD,NAGPUR	440011",False,21.1409684,79.0624344
324,Lovelys Expresso,"Beverages,Fast Food,Waffle",,150,Dharampeth,Dharampeth,"VISHWKARMA AUTO SERVICE, PLOT NO 1, SHANKAR NAGAR SQUARE PETROL PUMP, NAGPUR -",False,21.1409684,79.0624344
325,IT'S BREAK TIME CAFE,"Chinese,Italian,Fast Food,Snacks,Street Food,Beverages",,250,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 4, PLOT NO. 506, TAJSHREE PLAZA, NEAR BASKETBALL GROUND, HANUMAN NAGAR, ZONE NO 5, NAGPUR URBAN, NAGPUR- 440024",True,21.1205917,79.11011712375097
326,Mustard Restro Lounge And Bar,"Indian,Chinese,Continental",3.3,800,Dharampeth,C/o Bawarchi Restaurant,"C/o Bawarchi Restaurant, Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",False,,
327,Mocha,"Indian,Continental,Chinese",4.0,1400,Khare Town,Dharampeth,"202, Cement Road, Shankar Nagar, Dharampeth, Nagpur",False,21.1409684,79.0624344
328,Bollywood Dabeli Wada Pav Fast Food Corner,"Street Food,Indian,Snacks",,100,Gokulpeth,Dharampeth,"NEAR TRAFIC PARK VIP ROAD DHARAMPETH NAGPUR URBAN NAGPUR MAHARASHTRA, 440010",True,21.1409684,79.0624344
329,Vada Pavv Wala,"Street Food,Fast Food,Beverages",,200,Dharampeth,Dharampeth,"House no.0375, VIP Road, Tanga Stand, Near Childrens Traffic Park, Dharampeth,Nagpur",False,21.1409684,79.0624344
330,Theody,Beverages,,500,Dharampeth,Dharampeth,"Abhogi Apartments, Gajanan Mandir Rd, Dharampeth, Nagpur, Maharashtra 440010, India",False,21.1409684,79.0624344
331,PIYUSH CHAAT CENTER,Chaat,,100,Gandhibagh,Gandhibagh,"BANGALI PANJA, TABLE MARKET, BHOLASHAH DARGHA ROAD, NAGPUR, ZONE NO. 6, GANDHIBAGH, NAGPUR URBAN, NAGPUR-1, MAHARASHTRA-440002",True,21.1543273,79.1058527
332,The Next Chapter Cafe,"North Indian,Chinese",,250,Shankar Nagar Square,dharampeth,"Next to Plot no. 169, Near Shankar Nagar Garden, Next to Universal Projects Real Estate Office, West Shankar Nagar Road, Shankar Nagar, Nagpur - 440010",False,21.1409684,79.0624344
333,Hitchki,"North Indian,Mughlai,Indian,Punjabi,Tandoor,Biryani",,600,NAGPUR,NAGPUR,"NANIKS ASHTAVINAYAK PARK AVENUE, PLOT NO-2/1 AND 11/2,12TH AND TERRACE FLOOR, NEW COLONY, CHHAONI, NAGPUR,Nagpur urban, Nagpur-1,Maharashtra, 440001",False,21.1498134,79.0820556
334,TKG-The Kebab Guy,"Kebabs,North Indian,Fast Food",4.6,400,Byramji Town,Sadar,"36, Koradi Rd, Byramji Town, Nagpur, Maharashtra 440013, India",False,21.1729661,79.0795534
335,Falani Mastani,"Desserts,Beverages",4.2,300,Khare Town,Dharampeth,"(Dairy Don) Namos Food Court, Madhumadhav Tower, Laxmi Bhawan Square, Dharampeth, Nagpur",True,21.1409684,79.0624344
336,CHINESE SPECIALIST,"Chinese,Snacks",,200,Dharampeth,Dharampeth,PLOT NO 7 DUBE LAY OUT GOVERNMENT PRESS SOCIETY NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1409684,79.0624344
337,ABHINU'S KITCHEN,North Indian,,300,Sadar,Sadar,"GADDIGODAM NEAR POLICE CHOWKI, ZONE NO- 10, MANGALWARI, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 440001",True,21.1729661,79.0795534
338,BOLLYWOOD DABELI WADAPAV AND FASTFOOD CORNER,Street Food,,150,Dharampeth,Dharampeth,NEAR TRAFIC PARK VIP ROAD DHARAMPETH NAGPUR 440010 NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1409684,79.0624344
339,KINGS CHINESE SPECIALIST,"Chinese,Snacks",,200,Dharampeth,Dharampeth,PLOT NO 7 DUBE LAY OUT GOVERNMENT PRESS SOCIETY NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA  GOVERMENT,False,21.1409684,79.0624344
340,Shreenath Pizza and Sandwich,Snacks,,250,Dharampeth,Traffic park,"258NA, W HIgh Court Rd, Opp. traffic park",True,21.140496249999998,79.06689898659218
341,Three Beans,Fast Food,4.0,500,Dharampeth,Dharampeth,"Janki Apartments,Beside Accounting Academy, Dharampeth, Nagpur",False,21.1409684,79.0624344
342,CAFE HIDE N SEEK,"Fast Food,Snacks,Arabian,Ice Cream,Beverages",,250,Sadar,Sadar,SHOP NO B 7 B 8 ACHRARAJ TOWER KORADI KATOL ROAD JUNCTION CHAONI NAGPUR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1729661,79.0795534
343,Myfroyoland,"Desserts,Beverages",,300,Bajaj Nagar,Bajaj Nagar,"SHOP NO. 009 PRATIBHA SANKUL APARTMENT NO. 001 KHARE TOWN , Zone no.2 -Dharampeth, Nagpur urban, Nagpur-1",True,21.1275893,79.0615901
344,Delicious bites cafeteria,"Fast Food,Pizzas",,250,Sadar,Sadar,"539R+58 Nagpur, Maharashtra, India",True,21.1729661,79.0795534
345,THE PIZZA COMPANY,Pizzas,,350,Sadar,Sadar,"HOUSE NO. 766/A, TAILORS LIN CHHONI, KATOLROAD, NARKHED, SAONER, NAGPUR (RURAL), NAGPUR, MAHARASHTRA- 440013",True,21.1729661,79.0795534
346,Golgappa Express,"Indian,Street Food,Chaat",4.0,150,Dharampeth,Dharampeth,"Desi food court, Swapnil Rajni Apartment, W High Ct Rd, Dharampeth Extension, Dharampeth, Nagpur",False,21.1409684,79.0624344
347,Hideout Cafe,"Chinese,Italian,Continental",,300,Bajaj Nagar,Dharampeth,"Hideout cafe  Shop number 1,2 Plot number 54 Khare town 440010",False,21.1409684,79.0624344
348,Punjabi Chaap corner,Indian,3.5,300,Sadar,Dharampeth,Plot no. 1058 Azad Chowk Sadar nagpur 440001,False,21.1409684,79.0624344
349,Bold Brista,"Fast Food,Beverages,Snacks",,300,Sadar,Sadar,"S No 10 Mahavir Complex Nrmadhusala Wine Kadbi chowk, Zone no. 1 - Laxminagar, Nagpur urban, Nagpur-1, Maharashtra - 440004",False,21.1729661,79.0795534
350,Pablo - The Art Cafe' Lounge,"Chinese,Continental,Indian",3.5,500,Civil Lines,Civil Lines,"240a, E High Ct Rd, Civil Lines, Nagpur, Maharashtra 440001",False,21.1545417,79.0788989
351,DILLI ZAIKA,"North Indian,Chinese,Snacks,Beverages",,200,Sadar,Sadar,SHOP NO 4 MANGALWARI COMPLEX WING SADAR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1729661,79.0795534
352,Cluckers Fried Chicken Restaurant,"American,Snacks,Continental",4.3,250,Byramji Town,Sadar,"Shop no 22,23 , poonam chamber, Near Monte Carlo , above Dominos",False,21.1729661,79.0795534
353,Mr. Meals,"Fast Food,North Indian,Snacks,Indian,Chinese",,250,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,21.1375622,79.1226825
354,SWADESH RASOI,"Indian,Snacks,Desserts",3.6,500,Mahal,Nandanvan,911 old mangalwari pandit pura Paunikar house,False,21.1375622,79.1226825
355,Delhi Grill,"North Indian,Kebabs,Snacks",,200,Dharampeth,Dharampeth,"Unit No. G-3, Shiv Gaurav Estate, Main Road, Dharampeth, Nagpur   440010",False,21.1409684,79.0624344
356,BOMBAY PAWBHAJI,"Street Food,Chaat",,200,Dharampeth,Dharampeth,SWAPNIL RAJNI APARTMENT DHRAMPETH EXTENTION DHARAMPETHNNAGPUR,True,21.1409684,79.0624344
357,Ashirwad Snacks Zone,"Street Food,Snacks,Beverages",,300,Dharampeth,Dharampeth,"Opposite Ganesh Sagar, Besides Roshan Automobiles, Hakim Arcade, Dharampeth, Nagpur",True,21.1409684,79.0624344
358,Dairy Don,"Desserts,Beverages",,100,Khare Town,Dharampeth,"Madhu Madhav Tower, Laxmi Bhavan Chowk, Dharmpeth, Nagpur",True,21.1409684,79.0624344
359,NAWAZISH,"North Indian,Biryani",,300,Ayodhya Nagar,Ayodhya Nagar,"10, Medical Chowk, Hanuman Nagar, Nagpur, Maharashtra 440024, India",False,21.1205917,79.11011712375097
360,Chilly's - Chinese Kitchen,"Chinese,Beverages,Thai",,300,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,21.1375622,79.1226825
361,Manish Bakery,Bakery,,200,Ayodhya Nagar,Ayodhya Nagar,"Ajani, Medical CollegeRoad, Near DCPzone-4 Office, AjniRailway Colony, AjniNagpur",False,21.1205917,79.11011712375097
362,Barbecue Express Delivery,"Biryani,Kebabs,Indian,Barbecue,North Indian",4.1,200,Dharampeth,Dharampeth,"Flat no. 102, Satyam Apartment, Canal Road, Gokulpeth, Nagpur",False,21.1409684,79.0624344
363,Eat Street Express,"Indian,Biryani,Tandoor,Chinese",3.7,250,Dharampeth,Law College Square,"Law College Square, WHC Road, Dharampeth, Nagpur",False,21.1468151,79.0618908
364,222 BACKYARD,"Fast Food,Pizzas",,300,Dharampeth,Dharampeth,225A WEST HIGH COURT ROAD BEHIND MAX SHOWROOM GOKULPETH DHARAMPETH ZONE NO 2 DHARAMPETH NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,21.1409684,79.0624344
365,Break time cafe,"Chinese,Pizzas,Italian,Beverages",,149,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 04, PLOT NO. 506, TAJSHREE  PLAZA, NEAR BASKET BALL GROUND,  HANUMAN NAGAR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440024",True,21.1205917,79.11011712375097
366,Collective Blends,"Continental,Beverages,American,Mexican,Italian",4.4,300,Khare Town,Dharampeth,"23B, near HDFC bank, Om Sai Nagar, Shivaji Nagar, Nagpur, Maharashtra 440010",False,21.1409684,79.0624344
367,Only Thalis.com,North Indian,,300,Dharampeth,Dharampeth,"C/o Bawarchi Restaurant, Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",False,21.1409684,79.0624344
368,Mad About Coffee,"Beverages,Desserts,Juices,Continental,Italian",4.2,200,Dharampeth,Dharampeth,"SHOP NO 5 CHANDRA BHAWAN ZONE NO 2 DHARAMPETH Nagpur urban, Nagpur-1, Maharashtra-440010",True,21.1409684,79.0624344
369,Fuel Headquaters,"Fast Food,Beverages",4.0,250,Bajaj Nagar,Laxminagar Mate Sqare Road,"Beside Vijaya Bank, Laxminagar Mate Sqare Road, Bajaj Nagar, Nagpur",False,,
370,Shreenath Food Joint,"Chaat,Chinese,Snacks,Fast Food,Street Food,Beverages",3.7,150,Futala,Bharat nagar,"Shop 1, Ganesh Tower, Bharat Nagar, Sq,Amrawati Rd, Vayusena Nagar",True,21.1500075,79.0462648
371,Laziz Affair,"Mughlai,Fast Food",2.8,350,Byramji Town,Sadar,"Opposite Chhoroni Masjid, Sadar, Nagpur",False,21.1729661,79.0795534
372,Zinea,"Fast Food,Pizzas,Pastas",,400,Dharampeth,Dharampeth,"Dharampeth Towers 209 West High Court Road, Square, Shankar Nagar, Dharampeth, Nagpur, Maharashtra",False,21.1409684,79.0624344
373,Midas Touch,"Indian,Chinese",,800,Dharampeth,WHC Road,"210,W High CourtRoad,Dharampeth",False,,
374,Burger Master,"American,Chinese,Fast Food,Snacks,Italian",,200,Sadar,Sadar,KASHMIRI GALI ROAD FRONTIER APARTMENT NO 1/36 WARD NO 54 COOPERATIVE HOUSING SOCIETY LTD NAGPUR 440017,False,21.1729661,79.0795534
375,BTC SPECIAL COMBO,"Chinese,Pizzas,Fast Food",,200,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 04, PLOT NO. 506, TAJSHREE  PLAZA, NEAR BASKET BALL GROUND,  HANUMAN NAGAR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440024",True,21.1205917,79.11011712375097
376,Foodie Land,"North Indian,Fast Food",,300,Dharampeth,Dharampeth,"20, Mama Rd, Dharampeth, Nagpur, Maharashtra 440010, India",True,21.1409684,79.0624344
377,Barbeque Hut,"North Indian,Chinese",,300,Mahal,gandibagh,"house no. 880, near heera plaza, zone no. 8, ward no. 37, khadgi mohalla, juni itwari, nagpur",False,,
378,The Pixie Bee,"Beverages,Desserts,Snacks",,300,Dharampeth,Dharampeth,"544 WHC Road, GiriPeth , Zone no.2 - Dharampeth , Nagpur urban, Nagpur",False,21.1409684,79.0624344
379,THE SANDWICH KING,Fast Food,,200,Ayodhya Nagar,Ayodhya Nagar,PLOT NO 91 VIRAJ SOCIETY SIDDHESHWARI NAGAR MANEWADA ROAD NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1205917,79.11011712375097
380,JAILAXMI GRUHA UDYOG,Snacks,,200,Dharampeth,Dharampeth,"PLOT NO32,SHREE PRASAD APARTMENT,NEW VERMA ALYOUT,OPP AMBAZARI GARDEN ,ZONE NO 2,DHARAMPETH,NAGPUR,MAHARSHTRA",False,21.1409684,79.0624344
